long_hair,forehead_width_cm,forehead_height_cm,nose_wide,nose_long,lips_thin,distance_nose_to_lip_long,gender
1,14.53,6.66,0,1,1,1,Male
1,12.77,5.77,0,0,0,0,Female
0,14.12,6.93,1,1,1,1,Male
1,13.97,6.66,1,0,0,0,Male
0,14.32,6.24,0,1,0,1,Male
1,14.54,5.7,1,0,0,0,Female
1,14.38,6.78,1,1,1,0,Male
0,13.69,6.0,0,1,1,1,Male
1,14.06,6.47,1,0,1,1,Male
1,13.87,5.67,0,0,1,0,Female
0,13.68,7.07,1,1,1,1,Male
1,15.39,6.24,0,1,0,0,Male
0,14.32,6.29,1,1,1,1,Male
0,13.98,7.09,1,0,0,1,Male
1,13.9,5.42,1,0,0,0,Female
1,12.64,6.71,1,1,1,0,Male
0,12.89,5.52,0,0,1,0,Female
0,12.52,6.17,1,0,0,1,Female
1,13.17,6.33,1,0,1,0,Female
1,13.76,6.65,1,1,1,1,Male
1,13.89,6.55,0,0,0,1,Female
0,14.45,7.04,0,0,1,0,Male
1,13.6,5.5,1,0,0,0,Female
1,14.27,5.69,0,1,1,0,Female
1,12.85,5.66,0,1,0,0,Female
1,11.88,5.73,0,0,0,1,Female
1,14.3,6.9,0,1,1,1,Female
1,12.47,5.16,0,0,0,1,Female
1,12.31,5.34,0,0,0,0,Female
0,11.2,6.52,1,0,0,0,Female
0,13.64,5.93,1,1,1,1,Male
1,13.78,5.94,1,0,0,1,Male
0,12.25,6.22,0,0,0,1,Female
1,13.59,5.94,0,0,0,0,Female
1,13.72,5.8,0,0,0,0,Female
1,13.73,6.24,1,0,1,1,Male
1,12.87,5.25,0,1,0,0,Female
0,14.95,6.6,0,0,1,1,Male
1,14.93,6.36,1,1,0,1,Male
1,14.37,6.02,1,1,1,0,Male
0,12.88,5.37,0,0,1,1,Male
1,13.96,6.42,1,1,0,0,Male
1,11.54,5.78,1,0,1,1,Female
1,14.13,4.88,0,1,1,0,Female
0,13.51,5.06,1,1,0,1,Female
0,13.79,5.5,0,0,0,0,Female
1,14.29,6.1,1,0,1,1,Female
0,15.41,5.8,1,0,0,0,Male
1,12.64,6.09,0,0,0,0,Female
1,11.11,5.52,1,0,1,1,Female
0,13.28,6.99,1,1,1,1,Male
1,12.85,5.83,0,0,0,0,Female
1,14.65,6.57,0,0,0,1,Male
1,11.76,5.34,0,0,1,1,Female
0,15.32,6.94,1,1,1,0,Male
1,14.86,4.54,0,0,1,0,Female
0,12.94,5.47,1,0,0,0,Female
0,14.1,5.45,0,0,1,1,Male
0,12.97,5.33,1,1,0,0,Male
0,14.23,6.6,0,1,0,0,Male
1,12.28,5.41,0,1,1,1,Male
1,15.05,6.19,0,1,1,1,Male
0,14.05,6.81,1,0,1,0,Male
0,13.48,6.67,0,1,1,1,Male
0,13.17,5.97,0,1,1,1,Male
1,13.6,6.28,0,0,0,0,Female
1,11.34,5.67,0,1,0,1,Female
0,14.55,6.97,0,1,1,1,Male
1,15.44,5.67,1,1,0,0,Female
0,11.66,6.01,0,1,0,1,Female
1,12.91,6.4,1,1,0,1,Female
1,14.94,5.77,0,0,0,0,Female
0,14.06,6.91,1,1,0,1,Male
1,12.49,6.43,1,0,0,1,Female
0,14.31,5.55,0,1,0,1,Male
0,13.0,5.51,0,0,1,1,Female
1,12.25,6.22,0,1,0,1,Female
1,12.93,5.82,0,1,0,0,Female
0,13.43,5.95,1,0,1,0,Male
1,13.11,5.98,0,1,1,1,Female
0,16.02,6.78,0,1,0,1,Male
1,11.72,5.92,0,0,1,0,Female
0,13.81,7.17,1,0,1,0,Male
0,14.72,5.85,0,0,0,1,Female
0,11.66,6.17,1,0,1,1,Male
0,13.39,6.42,0,0,1,1,Male
1,13.75,6.58,1,0,0,1,Female
0,15.3,6.41,0,1,1,0,Male
1,14.87,5.41,1,0,1,0,Female
0,13.0,5.56,0,1,1,1,Female
0,13.7,6.23,0,1,0,1,Female
1,12.25,5.33,0,1,0,0,Female
1,13.5,4.96,0,0,0,0,Female
1,13.28,5.0,0,0,0,0,Female
0,12.94,4.84,0,0,1,0,Female
1,12.5,5.05,0,0,0,0,Female
0,12.36,5.11,0,1,0,0,Female
0,13.28,6.39,0,0,1,1,Female
1,13.63,5.68,0,1,1,0,Female
0,13.22,5.97,0,0,1,0,Male
0,14.69,4.86,1,0,0,1,Male
0,12.96,5.63,0,0,1,1,Female
1,13.1,4.83,1,0,0,1,Female
1,12.8,5.52,0,0,0,1,Female
1,13.02,6.73,0,1,0,1,Female
1,15.7,6.03,0,0,1,1,Female
0,13.31,5.6,1,1,0,0,Female
1,13.65,6.05,0,0,0,0,Female
1,13.44,5.44,0,0,0,0,Female
0,14.7,6.11,1,1,1,1,Male
1,14.29,6.55,0,0,1,0,Female
0,14.6,5.8,1,0,1,0,Male
1,14.06,5.52,0,0,1,1,Female
1,12.67,5.85,0,0,0,0,Female
0,15.67,5.93,0,0,1,0,Male
1,13.37,6.03,0,1,0,1,Female
0,12.99,6.66,0,1,1,1,Male
1,13.54,6.03,0,0,1,1,Female
1,11.81,5.99,1,0,0,0,Female
0,13.5,6.56,0,0,1,1,Male
1,11.57,6.56,1,0,1,0,Female
1,14.24,6.34,1,1,1,1,Male
0,11.35,6.37,0,1,1,1,Female
1,13.61,5.84,1,0,1,0,Male
0,13.63,5.75,1,1,1,0,Male
1,14.04,5.79,1,0,0,1,Female
1,13.85,5.31,0,0,1,0,Female
0,13.23,6.09,0,1,0,1,Male
1,14.35,5.53,1,1,0,1,Female
1,13.91,5.29,0,0,1,1,Female
1,13.21,5.61,1,0,0,1,Female
1,12.5,6.75,1,1,0,0,Male
0,15.19,6.78,0,1,1,1,Male
0,15.3,6.49,0,1,0,0,Male
1,12.0,6.99,1,1,1,0,Male
0,13.29,6.49,1,1,1,0,Male
1,14.5,7.16,1,1,1,0,Male
1,14.64,5.49,0,1,1,0,Male
1,13.32,6.47,1,0,1,1,Male
1,13.69,6.44,1,1,1,0,Male
1,13.06,5.48,0,0,0,0,Female
0,14.11,6.59,1,1,1,1,Male
1,12.25,5.95,0,0,0,1,Female
0,12.15,5.64,0,1,1,1,Female
0,14.24,5.91,0,1,0,1,Female
0,13.22,7.08,1,0,1,1,Male
1,13.15,6.18,0,0,0,1,Male
0,14.82,7.38,1,0,1,1,Male
0,14.92,6.7,1,0,1,0,Male
1,14.55,6.34,1,0,0,1,Female
0,12.68,6.01,1,1,1,1,Male
0,13.53,5.78,1,0,1,1,Male
